timesteps,ep_rew_mean,ep_len_mean
1902,-256724.755072,901
1903,-256724.755072,901
1904,-256724.755072,901
1905,-256724.755072,901
1906,-256724.755072,901
1907,-256724.755072,901
1908,-256724.755072,901
1909,-256724.755072,901
1910,-256724.755072,901
1911,-256724.755072,901
1912,-256724.755072,901
1913,-256724.755072,901
1914,-256724.755072,901
1915,-256724.755072,901
1916,-256724.755072,901
1917,-256724.755072,901
1918,-256724.755072,901
1919,-256724.755072,901
1920,-256724.755072,901
1921,-256724.755072,901
1922,-256724.755072,901
1923,-256724.755072,901
1924,-256724.755072,901
1925,-256724.755072,901
1926,-256724.755072,901
1927,-256724.755072,901
1928,-256724.755072,901
1929,-256724.755072,901
1930,-256724.755072,901
1931,-256724.755072,901
1932,-256724.755072,901
1933,-256724.755072,901
1934,-256724.755072,901
1935,-256724.755072,901
1936,-256724.755072,901
1937,-256724.755072,901
1938,-256724.755072,901
1939,-256724.755072,901
1940,-256724.755072,901
1941,-256724.755072,901
1942,-256724.755072,901
1943,-256724.755072,901
1944,-256724.755072,901
1945,-256724.755072,901
1946,-256724.755072,901
1947,-256724.755072,901
1948,-256724.755072,901
1949,-256724.755072,901
1950,-256724.755072,901
1951,-256724.755072,901
1952,-256724.755072,901
1953,-256724.755072,901
1954,-256724.755072,901
1955,-256724.755072,901
1956,-256724.755072,901
1957,-256724.755072,901
1958,-256724.755072,901
1959,-256724.755072,901
1960,-256724.755072,901
1961,-256724.755072,901
1962,-256724.755072,901
1963,-256724.755072,901
1964,-256724.755072,901
1965,-256724.755072,901
1966,-256724.755072,901
1967,-256724.755072,901
1968,-256724.755072,901
1969,-256724.755072,901
1970,-256724.755072,901
1971,-256724.755072,901
1972,-256724.755072,901
1973,-256724.755072,901
1974,-256724.755072,901
1975,-256724.755072,901
1976,-256724.755072,901
1977,-256724.755072,901
1978,-256724.755072,901
1979,-256724.755072,901
1980,-256724.755072,901
1981,-256724.755072,901
1982,-256724.755072,901
1983,-256724.755072,901
1984,-256724.755072,901
1985,-256724.755072,901
1986,-256724.755072,901
1987,-256724.755072,901
1988,-256724.755072,901
1989,-256724.755072,901
1990,-256724.755072,901
1991,-256724.755072,901
1992,-256724.755072,901
1993,-256724.755072,901
1994,-256724.755072,901
1995,-256724.755072,901
1996,-256724.755072,901
1997,-256724.755072,901
1998,-256724.755072,901
1999,-256724.755072,901
2000,-256724.755072,901
2001,-256724.755072,901
2002,-256724.755072,901
2003,-256724.755072,901
2004,-256724.755072,901
2005,-256724.755072,901
2006,-256724.755072,901
2007,-256724.755072,901
2008,-256724.755072,901
2009,-256724.755072,901
2010,-256724.755072,901
2011,-256724.755072,901
2012,-256724.755072,901
2013,-256724.755072,901
2014,-256724.755072,901
2015,-256724.755072,901
2016,-256724.755072,901
2017,-256724.755072,901
2018,-256724.755072,901
2019,-256724.755072,901
2020,-256724.755072,901
2021,-256724.755072,901
2022,-256724.755072,901
2023,-256724.755072,901
2024,-256724.755072,901
2025,-256724.755072,901
2026,-256724.755072,901
2027,-256724.755072,901
2028,-256724.755072,901
2029,-256724.755072,901
2030,-256724.755072,901
2031,-256724.755072,901
2032,-256724.755072,901
2033,-256724.755072,901
2034,-256724.755072,901
2035,-256724.755072,901
2036,-256724.755072,901
2037,-256724.755072,901
2038,-256724.755072,901
2039,-256724.755072,901
2040,-256724.755072,901
2041,-256724.755072,901
2042,-256724.755072,901
2043,-256724.755072,901
2044,-256724.755072,901
2045,-256724.755072,901
2046,-256724.755072,901
2047,-256724.755072,901
2048,-256724.755072,901
2049,-256724.755072,901
2050,-256724.755072,901
2051,-256724.755072,901
2052,-256724.755072,901
2053,-256724.755072,901
2054,-256724.755072,901
2055,-256724.755072,901
2056,-256724.755072,901
2057,-256724.755072,901
2058,-256724.755072,901
2059,-256724.755072,901
2060,-256724.755072,901
2061,-256724.755072,901
2062,-256724.755072,901
2063,-256724.755072,901
2064,-256724.755072,901
2065,-256724.755072,901
2066,-256724.755072,901
2067,-256724.755072,901
2068,-256724.755072,901
2069,-256724.755072,901
2070,-256724.755072,901
2071,-256724.755072,901
2072,-256724.755072,901
